Umsy_1,Umsy_2,Umsy_3,Umsy_4,Umsy_5,Umsy_6,Umsy_7,Umsy_8,Umsy_9,Umsy_10,Umsy_11,Umsy_12,Umsy_13,Smsy_1,Smsy_2,Smsy_3,Smsy_4,Smsy_5,Smsy_6,Smsy_7,Smsy_8,Smsy_9,Smsy_10,Smsy_11,Smsy_12,Smsy_13
0.666771148,0.569081769,0.56260384,0.399722783,0.684845134,0.606030366,0.549264618,0.523743939,0.740769189,0.693750192,0.402331402,0.517367482,0.49448844,7276.697653,2378.457216,9873.50821,638.5159468,2614.414554,6243.694587,5361.388683,576.1542092,2403.266002,1439.008024,293.2956175,806.9609441,674.9829437
0.590571452,0.617640502,0.581329592,0.389455104,0.715281796,0.47586374,0.405074991,0.447512512,0.705173776,0.657710061,0.378140019,0.515026013,0.517399206,6043.736981,2347.269507,9815.0468,803.1144779,2309.562841,5274.441228,4746.223502,469.1357119,2320.282398,1446.861792,279.7053313,733.7674037,739.1104319
0.634125134,0.526459419,0.687369431,0.465397062,0.796424399,0.531126149,0.338288159,0.36883163,0.739021464,0.684648487,0.361879988,0.46938762,0.443455768,6774.805998,2825.85413,11690.32117,826.7258841,2495.68693,5728.458972,4132.238431,470.0955674,2191.180017,1404.55948,244.6208773,779.470621,724.5920915
0.599868568,0.5718439,0.625987631,0.400487939,0.733688482,0.344608225,0.309675012,0.422236816,0.738660059,0.662439618,0.369487182,0.466760464,0.440461063,6023.816934,2665.008514,11088.75885,845.1376407,2403.495289,5497.532888,4234.254412,533.7928406,2160.11469,1254.287936,251.9270333,822.511855,688.952452
0.7262459,0.590634884,0.665598562,0.45704782,0.725634919,0.530324958,0.59029685,0.495287837,0.781959743,0.759745256,0.38497971,0.576350875,0.48547205,7054.00843,2578.820346,8756.649569,799.1699419,2545.183249,7434.524208,6395.187625,711.4085358,2374.775938,1340.496868,250.6364551,853.2326385,828.300059
0.659944204,0.484810707,0.534857079,0.356756943,0.777805672,0.416772859,0.47227605,0.485780499,0.819630692,0.668596699,0.398833446,0.467798399,0.57071277,7669.870668,2779.974021,9728.707159,1142.060634,2359.186315,7730.696499,7163.884133,552.408847,2308.691371,1589.012476,229.1453474,961.9329332,733.9085569
0.601022041,0.590455048,0.511083045,0.30291182,0.722318983,0.494006822,0.471622804,0.594466054,0.781042755,0.572562605,0.383336552,0.610460436,0.484260022,7130.393971,2152.150491,8473.295834,996.486485,2541.337288,6139.273875,5839.07467,541.1482958,2146.958064,1567.703928,221.1351962,895.9284451,964.8137874
0.613370572,0.531636907,0.515085668,0.381208127,0.698245168,0.560140465,0.444959069,0.542604834,0.800662614,0.574009133,0.522775179,0.541285141,0.397875459,8004.570824,2430.823791,9095.455981,901.5667879,2396.275616,5774.333164,6144.71224,420.5190024,2180.35716,1669.57626,233.1553892,892.4935167,970.5134902
0.470014993,0.462349353,0.704101724,0.278962756,0.766278789,0.472862885,0.316019556,0.329067363,0.761735373,0.565153441,0.290008038,0.429622971,0.379298551,8395.232989,2112.888729,8669.429242,624.2807802,2641.396811,5512.356971,4531.203809,300.0347617,2388.879316,1507.747982,175.0712981,775.6920077,631.7381197
0.585099292,0.507772192,0.550068969,0.330292052,0.76321861,0.470246863,0.465990115,0.357125699,0.747252,0.634094552,0.320955786,0.407657745,0.351055819,8910.322041,2194.433735,9108.644876,753.8994821,2533.336468,6576.562039,5810.696617,569.4793198,2249.984956,1536.977843,227.8569803,920.191264,716.8521545
0.56254217,0.489511511,0.490253789,0.303477027,0.756093107,0.517090736,0.390004647,0.30717857,0.696500285,0.573284049,0.342061858,0.383565266,0.381250542,8752.261908,2316.206222,11418.75976,972.7413126,2610.609524,5848.51863,5261.664873,543.3839099,2347.220762,1499.092392,244.1838556,909.2876352,715.0991229
