"iter","stock","param","value"
9,10,"alpha",4.62551631054871
9,11,"alpha",3.72712369267926
9,12,"alpha",4.40401603819199
9,1,"beta",0.000424931636761049
9,2,"beta",0.000813870346292274
9,3,"beta",0.000520614809998891
9,4,"beta",0.000194122999180265
9,5,"beta",0.00077805079498041
9,6,"beta",0.000283205799985797
9,7,"beta",0.000492093244033944
9,8,"beta",9.02571081101927e-05
9,9,"beta",0.000320192905771247
9,10,"beta",0.000334081790197632
9,11,"beta",0.000351055778783739
9,12,"beta",0.000370398078391375
9,1,"U_msy",0.60442496
9,2,"U_msy",0.493452471
9,3,"U_msy",0.317148842
9,4,"U_msy",0.511534841
9,5,"U_msy",0.352042983
9,6,"U_msy",0.69850323
9,7,"U_msy",0.466193608
9,8,"U_msy",0.578388924
9,9,"U_msy",0.74340666
9,10,"U_msy",0.604353601
9,11,"U_msy",0.539718906
9,12,"U_msy",0.59026709
9,1,"S_msy",1422.405177
9,2,"S_msy",606.3035387
9,3,"S_msy",609.1813677
9,4,"S_msy",2635.10683
9,5,"S_msy",452.4678662
9,6,"S_msy",2466.415695
9,7,"S_msy",947.3684381
9,8,"S_msy",6408.236826
9,9,"S_msy",2321.746193
9,10,"S_msy",1808.99893
9,11,"S_msy",1537.416384
9,12,"S_msy",1593.601923
9,NA,"S_obj",40192.3135585432
9,NA,"U_obj",0.35
9,NA,"U_MSY",0.59
9,NA,"S_MSY",22152.3910992644
10,1,"alpha",4.19241000201575
10,2,"alpha",6.9488802876027
10,3,"alpha",7.32872805440577
10,4,"alpha",4.00958148758462
10,5,"alpha",2.92629378482679
10,6,"alpha",3.57885135272664
10,7,"alpha",3.70882919992744
10,8,"alpha",3.2223363565272
10,9,"alpha",5.35513061937292
10,10,"alpha",6.17821146095562
10,11,"alpha",3.1733040012744
10,12,"alpha",2.95170191601669
10,1,"beta",0.000205925758191154
10,2,"beta",8.40170650960054e-05
10,3,"beta",8.10246545212775e-05
10,4,"beta",0.000360074640307258
10,5,"beta",0.000532875733497923
10,6,"beta",0.000213448484075592
10,7,"beta",0.000223315060546228
10,8,"beta",0.00145409663058688
10,9,"beta",0.000423272933774162
10,10,"beta",8.43077943446987e-05
10,11,"beta",4.74124820655656e-05
